campaign_name,start_date,end_date,station,station_group,market,daypart,spots_per_day,total_spots,reach_000,frequency,cpm,spend,region
Price Announcement - Smooth Radio London,2025-01-09,2025-01-22,Smooth Radio,Global,GB,Breakfast Drive,18,252,565,4.5,38.63,21825.97,London
Dealer Opening - Classic FM North East,2025-01-11,2025-01-24,Classic FM,Global,GB,Breakfast Drive,13,182,490,3.7,31.45,15410.73,North East
Price Announcement - Capital FM South West,2025-02-04,2025-02-17,Capital FM,Global,GB,Breakfast Drive,19,266,1799,1.5,6.53,11742.13,South West
Price Announcement - Heart Wales,2025-03-06,2025-03-19,Heart,Global,GB,Breakfast Drive,15,210,1414,1.5,2.32,3278.61,Wales
S05 Preview - LBC South West,2025-03-11,2025-03-24,LBC,Global,GB,Breakfast Drive,17,238,1728,1.4,5.8,10020.51,South West
Year-End Offer - BBC Radio 5 Northern Ireland,2025-03-15,2025-03-28,BBC Radio 5,BBC,GB,Breakfast Drive,16,224,670,3.3,14.82,9928.71,Northern Ireland
Dealer Opening - Classic FM East Anglia,2025-04-15,2025-04-28,Classic FM,Global,GB,Daytime,9,126,370,3.4,10.04,3714.8,East Anglia
Brand Awareness - BBC Radio 5 South East,2025-04-19,2025-04-25,BBC Radio 5,BBC,GB,Breakfast Drive,17,119,800,1.5,8.67,6938.52,South East
Test Drive Invite - Classic FM North West,2025-05-03,2025-05-16,Classic FM,Global,GB,Breakfast Drive,10,140,529,2.6,23.17,12256.76,North West
Dealer Opening - LBC Wales,2025-05-16,2025-05-29,LBC,Global,GB,Breakfast Drive,8,112,984,1.1,5.12,5035.11,Wales
Price Announcement - LBC East Anglia,2025-06-08,2025-06-21,LBC,Global,GB,Drive Time,12,168,823,2.0,14.0,11524.92,East Anglia
S05 Preview - Capital FM South West,2025-06-19,2025-06-25,Capital FM,Global,GB,Daytime,7,49,224,2.2,8.0,1791.53,South West
S07 Launch - Heart Midlands,2025-07-01,2025-07-21,Heart,Global,GB,Evening,8,168,1029,1.6,8.21,8452.81,Midlands
Conquest EV - talkSPORT South East,2025-07-02,2025-07-22,talkSPORT,Bauer,GB,Breakfast Drive,18,378,2738,1.4,6.25,17125.82,South East
Price Announcement - talkSPORT Midlands,2025-07-04,2025-07-10,talkSPORT,Bauer,GB,Breakfast Drive,15,105,624,1.7,10.48,6540.55,Midlands
Conquest EV - talkSPORT Midlands,2025-07-07,2025-07-20,talkSPORT,Bauer,GB,Drive Time,6,84,436,1.9,9.96,4340.84,Midlands
Test Drive Invite - Heart East Anglia,2025-07-12,2025-07-25,Heart,Global,GB,Breakfast Drive,19,266,284,9.4,70.17,19929.32,East Anglia
Brand Awareness - LBC London,2025-07-18,2025-07-24,LBC,Global,GB,Breakfast Drive,16,112,214,5.2,40.82,8735.49,London
Conquest EV - Heart South West,2025-07-18,2025-07-24,Heart,Global,GB,Daytime,5,35,120,2.9,14.87,1784.72,South West
Year-End Offer - talkSPORT Scotland,2025-08-06,2025-08-26,talkSPORT,Bauer,GB,Breakfast Drive,8,168,370,4.5,10.43,3860.32,Scotland
S07 Launch - Classic FM East Anglia,2025-08-07,2025-08-27,Classic FM,Global,GB,Breakfast Drive,11,231,1435,1.6,9.52,13656.78,East Anglia
Price Announcement - Classic FM Midlands,2025-08-10,2025-08-23,Classic FM,Global,GB,Drive Time,12,168,701,2.4,8.5,5958.82,Midlands
Price Announcement - talkSPORT Wales,2025-08-13,2025-08-26,talkSPORT,Bauer,GB,Breakfast Drive,14,196,862,2.3,6.82,5881.09,Wales
Conquest EV - LBC Wales,2025-08-14,2025-08-27,LBC,Global,GB,Breakfast Drive,17,238,976,2.4,9.72,9491.2,Wales
Conquest EV - talkSPORT Northern Ireland,2025-08-17,2025-08-23,talkSPORT,Bauer,GB,Breakfast Drive,18,126,484,2.6,18.58,8992.43,Northern Ireland
S07 Launch - talkSPORT South West,2025-09-01,2025-09-14,talkSPORT,Bauer,GB,Breakfast Drive,15,210,1331,1.6,12.34,16426.14,South West
S07 Launch - talkSPORT Wales,2025-09-02,2025-09-15,talkSPORT,Bauer,GB,Evening,3,42,228,1.8,2.29,521.95,Wales
Brand Awareness - Classic FM Northern Ireland,2025-09-03,2025-09-23,Classic FM,Global,GB,Drive Time,8,168,911,1.8,4.74,4316.71,Northern Ireland
S07 Launch - Smooth Radio East Anglia,2025-09-05,2025-09-18,Smooth Radio,Global,GB,Drive Time,12,168,778,2.2,9.38,7294.85,East Anglia
Price Announcement - BBC Radio 5 Scotland,2025-09-07,2025-09-13,BBC Radio 5,BBC,GB,Drive Time,6,42,201,2.1,7.2,1448.09,Scotland
Test Drive Invite - Classic FM East Anglia,2025-09-09,2025-09-22,Classic FM,Global,GB,Breakfast Drive,11,154,812,1.9,12.71,10319.87,East Anglia
Year-End Offer - Capital FM London,2025-09-11,2025-09-24,Capital FM,Global,GB,Daytime,4,56,66,8.5,46.77,3086.96,London
Test Drive Invite - LBC South East,2025-09-11,2025-09-24,LBC,Global,GB,Drive Time,11,154,722,2.1,5.13,3704.06,South East
Dealer Opening - talkSPORT South West,2025-09-14,2025-09-27,talkSPORT,Bauer,GB,Breakfast Drive,8,112,873,1.3,11.33,9892.65,South West
S07 Launch - Smooth Radio Midlands,2025-09-16,2025-09-29,Smooth Radio,Global,GB,Drive Time,14,196,1221,1.6,3.94,4804.99,Midlands
Conquest EV - Smooth Radio South West,2025-09-20,2025-09-26,Smooth Radio,Global,GB,Evening,5,35,47,7.4,20.42,959.76,South West
Dealer Opening - BBC Radio 5 Northern Ireland,2025-10-01,2025-10-21,BBC Radio 5,BBC,GB,Breakfast Drive,15,315,2268,1.4,10.45,23692.89,Northern Ireland
S07 Launch - Capital FM Midlands,2025-10-02,2025-10-15,Capital FM,Global,GB,Daytime,3,42,241,1.7,9.75,2349.39,Midlands
Test Drive Invite - Classic FM Scotland,2025-10-04,2025-10-17,Classic FM,Global,GB,Daytime,8,112,813,1.4,3.76,3055.14,Scotland
Year-End Offer - Smooth Radio South West,2025-10-09,2025-10-15,Smooth Radio,Global,GB,Breakfast Drive,12,84,181,4.6,16.81,3042.02,South West
Year-End Offer - Classic FM Wales,2025-10-10,2025-10-30,Classic FM,Global,GB,Breakfast Drive,10,210,683,3.1,7.02,4794.86,Wales
Price Announcement - talkSPORT Scotland,2025-10-13,2025-10-26,talkSPORT,Bauer,GB,Breakfast Drive,9,126,856,1.5,2.87,2454.66,Scotland
Year-End Offer - Smooth Radio North West,2025-10-21,2025-10-27,Smooth Radio,Global,GB,Breakfast Drive,10,70,464,1.5,2.09,972.15,North West
Dealer Opening - Classic FM Northern Ireland,2025-10-22,2025-10-28,Classic FM,Global,GB,Breakfast Drive,13,91,305,3.0,16.13,4919.47,Northern Ireland
Test Drive Invite - Smooth Radio Scotland,2025-11-01,2025-11-14,Smooth Radio,Global,GB,Breakfast Drive,13,182,431,4.2,15.84,6827.52,Scotland
Test Drive Invite - BBC Radio 5 Wales,2025-11-03,2025-11-16,BBC Radio 5,BBC,GB,Breakfast Drive,9,126,744,1.7,4.96,3692.76,Wales
S05 Preview - LBC North East,2025-11-05,2025-11-18,LBC,Global,GB,Breakfast Drive,13,182,1224,1.5,12.28,15025.55,North East
S05 Preview - Capital FM London,2025-11-05,2025-11-11,Capital FM,Global,GB,Drive Time,7,49,257,1.9,2.15,552.27,London
S05 Preview - BBC Radio 5 Wales,2025-11-08,2025-11-21,BBC Radio 5,BBC,GB,Breakfast Drive,18,252,1477,1.7,10.45,15434.22,Wales
Dealer Opening - Smooth Radio South West,2025-11-12,2025-11-25,Smooth Radio,Global,GB,Daytime,3,42,103,4.1,24.35,2508.42,South West
Year-End Offer - Capital FM South East,2025-12-05,2025-12-18,Capital FM,Global,GB,Daytime,3,42,100,4.2,23.81,2381.05,South East
S05 Preview - LBC Wales,2025-12-06,2025-12-26,LBC,Global,GB,Breakfast Drive,11,231,1276,1.8,3.55,4530.83,Wales
S05 Preview - Classic FM Wales,2025-12-09,2025-12-22,Classic FM,Global,GB,Evening,3,42,218,1.9,9.43,2054.81,Wales
Conquest EV - talkSPORT North West,2025-12-14,2025-12-27,talkSPORT,Bauer,GB,Breakfast Drive,9,126,633,2.0,4.58,2899.63,North West
S07 Launch - Smooth Radio Midlands,2025-12-17,2025-12-30,Smooth Radio,Global,GB,Breakfast Drive,8,112,260,4.3,30.07,7817.85,Midlands
